"","subject","type","item","condition","question","correct_answer","response","rt","group","question_type"
"16","Native 1","gp",14,"Unambiguous","!","{The_doctor_woke_himself_up}","1",3844,"Native","Main"
"23","Native 1","gp",3,"Ambiguous","!","{The_president}","1",1844,"Native","Sub"
"29","Native 1","gp",4,"Unambiguous","!","{The_friend}","1",2138,"Native","Sub"
"33","Native 1","gp",7,"Ambiguous","!","{The_lady}","1",1510,"Native","Sub"
"62","Native 1","gp",9,"Ambiguous","!","{The_pianist_calmed_himself_down}","1",3042,"Native","Main"
"68","Native 1","gp",6,"Unambiguous","!","{The_two_kids_fought_each_other}","1",3319,"Native","Main"
"75","Native 1","gp",5,"Ambiguous","!","{The_father_washed_the_boy}","0",2108,"Native","Main"
"89","Native 1","gp",20,"Unambiguous","!","{The_man}","1",1897,"Native","Sub"
"92","Native 1","gp",19,"Ambiguous","!","{The_basketball_player}","1",2853,"Native","Sub"
"100","Native 1","gp",17,"Ambiguous","!","{The_two_men_fought_each_other}","1",3400,"Native","Main"
"106","Native 1","gp",2,"Unambiguous","!","{The_mother_dressed_herself}","1",3563,"Native","Main"
"112","Native 1","gp",12,"Unambiguous","!","{The_baby}","1",1747,"Native","Sub"
"116","Native 1","gp",18,"Unambiguous","!","{The_father_washed_himself}","1",2748,"Native","Main"
"126","Native 1","gp",1,"Ambiguous","!","{The_lawyer_calmed_himself_down}","1",4765,"Native","Main"
"130","Native 1","gp",10,"Unambiguous","!","{The_two_soldiers_fought_each_other}","1",3444,"Native","Main"
"133","Native 1","gp",11,"Ambiguous","!","{The_friend}","1",1691,"Native","Sub"
"136","Native 1","gp",13,"Ambiguous","!","{The_girl_calmed_herself_down}","1",1904,"Native","Main"
"140","Native 1","gp",24,"Unambiguous","!","{The_director}","1",2375,"Native","Sub"
"144","Native 1","gp",16,"Unambiguous","!","{The_assistant}","1",1960,"Native","Sub"
"147","Native 1","gp",21,"Ambiguous","!","{Anna_dressed_herself}","1",1626,"Native","Main"
"151","Native 1","gp",22,"Unambiguous","!","{The_two_footballers_fought_each_other}","1",2226,"Native","Main"
"159","Native 1","gp",15,"Ambiguous","!","{The_boy}","1",3248,"Native","Sub"
"171","Native 1","gp",23,"Ambiguous","!","{The_child}","1",4003,"Native","Sub"
"175","Native 1","gp",8,"Unambiguous","!","{The_boy}","1",1513,"Native","Sub"
"195","Native 2","gp",16,"Ambiguous","!","{The_researcher_woke_himself_up}","1",3657,"Native","Main"
"202","Native 2","gp",17,"Unambiguous","!","{The_two_men_fought_each_other}","1",2911,"Native","Main"
"209","Native 2","gp",4,"Ambiguous","!","{The_two_children_hugged_their_friend}","0",2561,"Native","Main"
"217","Native 2","gp",15,"Unambiguous","!","{The_boy}","1",1028,"Native","Sub"
"223","Native 2","gp",2,"Ambiguous","!","{The_mother}","0",2794,"Native","Sub"
"230","Native 2","gp",10,"Ambiguous","!","{The_two_soldiers}","0",1124,"Native","Sub"
"241","Native 2","gp",6,"Ambiguous","!","{The_neighbour}","1",972,"Native","Sub"
"247","Native 2","gp",19,"Unambiguous","!","{The_basketball_player}","1",1542,"Native","Sub"
"261","Native 2","gp",20,"Ambiguous","!","{The_two_friends_met_each_other}","1",2585,"Native","Main"
"265","Native 2","gp",14,"Ambiguous","!","{The_nurse}","1",1586,"Native","Sub"
"269","Native 2","gp",8,"Ambiguous","!","{Mary_dressed_the_boy}","0",1956,"Native","Main"
"275","Native 2","gp",1,"Unambiguous","!","{The_lawyer_calmed_himself_down}","1",2505,"Native","Main"
"286","Native 2","gp",12,"Ambiguous","!","{The_nurse_washed_the_baby}","0",2174,"Native","Main"
"289","Native 2","gp",24,"Ambiguous","!","{The_two_actresses_met_the_director}","0",2652,"Native","Main"
"293","Native 2","gp",3,"Unambiguous","!","{The_president}","1",1444,"Native","Sub"
"297","Native 2","gp",23,"Unambiguous","!","{The_child}","1",1108,"Native","Sub"
"307","Native 2","gp",9,"Unambiguous","!","{The_pianist_calmed_himself_down}","1",3468,"Native","Main"
"314","Native 2","gp",5,"Unambiguous","!","{The_father_washed_himself}","1",1921,"Native","Main"
"324","Native 2","gp",11,"Unambiguous","!","{The_friend}","1",1136,"Native","Sub"
"342","Native 2","gp",21,"Unambiguous","!","{Anna_dressed_herself}","1",1236,"Native","Main"
"345","Native 2","gp",18,"Ambiguous","!","{The_baby}","1",2386,"Native","Sub"
"348","Native 2","gp",22,"Ambiguous","!","{The_coach}","1",2255,"Native","Sub"
"352","Native 2","gp",13,"Unambiguous","!","{The_girl_calmed_herself_down}","1",1454,"Native","Main"
"359","Native 2","gp",7,"Unambiguous","!","{The_lady}","1",953,"Native","Sub"
"379","Native 3","gp",4,"Unambiguous","!","{The_two_children_hugged_each_other}","1",4729,"Native","Main"
"382","Native 3","gp",20,"Unambiguous","!","{The_two_friends_met_each_other}","1",3223,"Native","Main"
"394","Native 3","gp",12,"Unambiguous","!","{The_nurse_washed_herself}","1",3367,"Native","Main"
"401","Native 3","gp",18,"Unambiguous","!","{The_baby}","1",1989,"Native","Sub"
"405","Native 3","gp",22,"Unambiguous","!","{The_coach}","1",2556,"Native","Sub"
"409","Native 3","gp",9,"Ambiguous","!","{The_pianist}","0",12669,"Native","Sub"
"412","Native 3","gp",6,"Unambiguous","!","{The_neighbour}","1",1922,"Native","Sub"
"427","Native 3","gp",13,"Ambiguous","!","{The_boy}","1",1870,"Native","Sub"
"430","Native 3","gp",24,"Unambiguous","!","{The_two_actresses_met_each_other}","1",2743,"Native","Main"
"436","Native 3","gp",15,"Ambiguous","!","{The_aunt_dressed_herself}","1",2633,"Native","Main"
"448","Native 3","gp",23,"Ambiguous","!","{The_mother_washed_herself}","1",1790,"Native","Main"
"456","Native 3","gp",1,"Ambiguous","!","{The_man}","1",1631,"Native","Sub"
"471","Native 3","gp",14,"Unambiguous","!","{The_nurse}","1",1757,"Native","Sub"
"478","Native 3","gp",7,"Ambiguous","!","{The_man_woke_himself_up}","1",3518,"Native","Main"
"482","Native 3","gp",16,"Unambiguous","!","{The_researcher_woke_himself_up}","1",2973,"Native","Main"
"499","Native 3","gp",11,"Ambiguous","!","{The_lady_woke_herself_up}","1",2909,"Native","Main"
"502","Native 3","gp",21,"Ambiguous","!","{The_child}","1",2411,"Native","Sub"
"508","Native 3","gp",19,"Ambiguous","!","{The_coach_calmed_himself_down}","1",3495,"Native","Main"
"519","Native 3","gp",5,"Ambiguous","!","{The_boy}","1",3324,"Native","Sub"
"525","Native 3","gp",3,"Ambiguous","!","{The_two_journalists_met_each_other}","1",2618,"Native","Main"
"529","Native 3","gp",10,"Unambiguous","!","{The_General}","1",2177,"Native","Sub"
"532","Native 3","gp",17,"Ambiguous","!","{The_terrorist}","1",2360,"Native","Sub"
"535","Native 3","gp",8,"Unambiguous","!","{Mary_dressed_herself}","1",3633,"Native","Main"
"538","Native 3","gp",2,"Unambiguous","!","{The_baby}","1",1910,"Native","Sub"
"559","Native 4","gp",11,"Unambiguous","!","{The_lady_woke_herself_up}","1",2515,"Native","Main"
"562","Native 4","gp",12,"Ambiguous","!","{The_baby}","1",1212,"Native","Sub"
"571","Native 4","gp",21,"Unambiguous","!","{The_child}","1",1585,"Native","Sub"
"574","Native 4","gp",24,"Ambiguous","!","{The_actresses}","0",2472,"Native","Sub"
"578","Native 4","gp",17,"Unambiguous","!","{The_terrorist}","1",1088,"Native","Sub"
"585","Native 4","gp",6,"Ambiguous","!","{The_two_kids_fought_each_other}","1",2739,"Native","Main"
"595","Native 4","gp",4,"Ambiguous","!","{The_friend}","1",1058,"Native","Sub"
"599","Native 4","gp",16,"Ambiguous","!","{The_assistant}","1",3170,"Native","Sub"
"603","Native 4","gp",2,"Ambiguous","!","{The_mother_dressed_the_baby}","0",1869,"Native","Main"
"607","Native 4","gp",15,"Unambiguous","!","{The_aunt_dressed_herself}","1",1286,"Native","Main"
"614","Native 4","gp",8,"Ambiguous","!","{The_boy}","1",2749,"Native","Sub"
"628","Native 4","gp",14,"Ambiguous","!","{The_doctor_woke_himself_up}","1",1580,"Native","Main"
"632","Native 4","gp",23,"Unambiguous","!","{The_mother_washed_the_child}","0",3461,"Native","Main"
"638","Native 4","gp",13,"Unambiguous","!","{The_boy}","1",1443,"Native","Sub"
"645","Native 4","gp",22,"Ambiguous","!","{The_two_footballers_fought_each_other}","1",2300,"Native","Main"
"652","Native 4","gp",7,"Unambiguous","!","{The_man_woke_himself_up}","1",1120,"Native","Main"
"656","Native 4","gp",1,"Unambiguous","!","{The_man}","1",1064,"Native","Sub"
"663","Native 4","gp",20,"Ambiguous","!","{The_man}","1",2021,"Native","Sub"
"670","Native 4","gp",3,"Unambiguous","!","{The_two_journalists_met_each_other}","1",2919,"Native","Main"
"673","Native 4","gp",9,"Unambiguous","!","{The_singer}","1",1267,"Native","Sub"
"688","Native 4","gp",10,"Ambiguous","!","{The_two_soldiers_fought_each_other}","1",2556,"Native","Main"
"694","Native 4","gp",18,"Ambiguous","!","{The_father_washed_the_baby}","0",1469,"Native","Main"
"701","Native 4","gp",5,"Unambiguous","!","{The_boy}","1",1838,"Native","Sub"
"708","Native 4","gp",19,"Unambiguous","!","{The_coach_calmed_himself_down}","1",2314,"Native","Main"
"738","Native 5","gp",19,"Ambiguous","!","{The_basketball_player}","1",2411,"Native","Sub"
"747","Native 5","gp",4,"Unambiguous","!","{The_friend}","1",1865,"Native","Sub"
"750","Native 5","gp",7,"Ambiguous","!","{The_lady}","1",1604,"Native","Sub"
"757","Native 5","gp",16,"Unambiguous","!","{The_assistant}","1",4299,"Native","Sub"
"765","Native 5","gp",1,"Ambiguous","!","{The_lawyer_calmed_himself_down}","1",2875,"Native","Main"
"771","Native 5","gp",2,"Unambiguous","!","{The_mother_dressed_the_baby}","0",3629,"Native","Main"
"778","Native 5","gp",3,"Ambiguous","!","{The_president}","1",1976,"Native","Sub"
"781","Native 5","gp",18,"Unambiguous","!","{The_father_washed_the_baby}","0",3630,"Native","Main"
"791","Native 5","gp",23,"Ambiguous","!","{The_mother}","0",2373,"Native","Sub"
"798","Native 5","gp",21,"Ambiguous","!","{Anna_dressed_the_child}","0",1624,"Native","Main"
"808","Native 5","gp",13,"Ambiguous","!","{The_girl_calmed_the_boy_down}","0",3354,"Native","Main"
"820","Native 5","gp",8,"Unambiguous","!","{The_boy}","1",2142,"Native","Sub"
"823","Native 5","gp",15,"Ambiguous","!","{The_aunt}","0",1437,"Native","Sub"
"827","Native 5","gp",14,"Unambiguous","!","{The_doctor_woke_himself_up}","1",3330,"Native","Main"
"835","Native 5","gp",24,"Unambiguous","!","{The_actresses}","0",3337,"Native","Sub"
"842","Native 5","gp",6,"Unambiguous","!","{The_two_kids_fought_each_other}","1",3234,"Native","Main"
"845","Native 5","gp",22,"Unambiguous","!","{The_two_footballers_fought_each_other}","1",2809,"Native","Main"
"853","Native 5","gp",11,"Ambiguous","!","{The_lady}","0",2132,"Native","Sub"
"864","Native 5","gp",10,"Unambiguous","!","{The_two_soldiers_fought_each_other}","1",2597,"Native","Main"
"873","Native 5","gp",17,"Ambiguous","!","{The_two_men_fought_each_other}","1",2285,"Native","Main"
"877","Native 5","gp",5,"Ambiguous","!","{The_father_washed_the_boy}","0",1943,"Native","Main"
"885","Native 5","gp",9,"Ambiguous","!","{The_pianist_calmed_the_singer_down}","0",3653,"Native","Main"
"888","Native 5","gp",20,"Unambiguous","!","{The_man}","1",1902,"Native","Sub"
"898","Native 5","gp",12,"Unambiguous","!","{The_baby}","1",2848,"Native","Sub"
"915","Native 6","gp",5,"Unambiguous","!","{The_father_washed_himself}","1",4095,"Native","Main"
"919","Native 6","gp",11,"Unambiguous","!","{The_friend}","1",1612,"Native","Sub"
"932","Native 6","gp",6,"Ambiguous","!","{The_neighbour}","1",1813,"Native","Sub"
"942","Native 6","gp",2,"Ambiguous","!","{The_baby}","1",2120,"Native","Sub"
"945","Native 6","gp",10,"Ambiguous","!","{The_General}","1",2816,"Native","Sub"
"948","Native 6","gp",17,"Unambiguous","!","{The_two_men_fought_each_other}","1",3729,"Native","Main"
"955","Native 6","gp",15,"Unambiguous","!","{The_boy}","1",1811,"Native","Sub"
"963","Native 6","gp",20,"Ambiguous","!","{The_two_friends_met_the_man}","0",3125,"Native","Main"
"970","Native 6","gp",3,"Unambiguous","!","{The_president}","1",1585,"Native","Sub"
"973","Native 6","gp",9,"Unambiguous","!","{The_pianist_calmed_himself_down}","1",3398,"Native","Main"
"984","Native 6","gp",7,"Unambiguous","!","{The_lady}","1",2098,"Native","Sub"
"992","Native 6","gp",24,"Ambiguous","!","{The_two_actresses_met_the_director}","0",2534,"Native","Main"
"998","Native 6","gp",12,"Ambiguous","!","{The_nurse_washed_the_baby}","0",3563,"Native","Main"
"1001","Native 6","gp",13,"Unambiguous","!","{The_girl_calmed_herself_down}","1",2873,"Native","Main"
"1015","Native 6","gp",8,"Ambiguous","!","{Mary_dressed_the_boy}","0",2478,"Native","Main"
"1019","Native 6","gp",16,"Ambiguous","!","{The_researcher_woke_the_assistant_up}","0",2823,"Native","Main"
"1022","Native 6","gp",14,"Ambiguous","!","{The_doctor}","0",2617,"Native","Sub"
"1029","Native 6","gp",4,"Ambiguous","!","{The_two_children_hugged_their_friend}","0",3084,"Native","Main"
"1033","Native 6","gp",23,"Unambiguous","!","{The_child}","1",1661,"Native","Sub"
"1050","Native 6","gp",1,"Unambiguous","!","{The_lawyer_calmed_himself_down}","1",2582,"Native","Main"
"1054","Native 6","gp",22,"Ambiguous","!","{The_coach}","1",1860,"Native","Sub"
"1068","Native 6","gp",18,"Ambiguous","!","{The_baby}","1",5989,"Native","Sub"
"1075","Native 6","gp",19,"Unambiguous","!","{The_basketball_player}","1",1552,"Native","Sub"
"1079","Native 6","gp",21,"Unambiguous","!","{Anna_dressed_herself}","1",2601,"Native","Main"
"1096","Native 7","gp",3,"Ambiguous","!","{The_two_journalists_met_the_president}","0",2964,"Native","Main"
"1100","Native 7","gp",17,"Ambiguous","!","{The_terrorist}","1",2381,"Native","Sub"
"1105","Native 7","gp",4,"Unambiguous","!","{The_two_children_hugged_each_other}","1",2833,"Native","Main"
"1112","Native 7","gp",18,"Unambiguous","!","{The_baby}","1",1646,"Native","Sub"
"1115","Native 7","gp",13,"Ambiguous","!","{The_boy}","1",1324,"Native","Sub"
"1118","Native 7","gp",22,"Unambiguous","!","{The_coach}","1",1700,"Native","Sub"
"1132","Native 7","gp",1,"Ambiguous","!","{The_lawyer}","0",2661,"Native","Sub"
"1138","Native 7","gp",7,"Ambiguous","!","{The_man_woke_himself_up}","1",4372,"Native","Main"
"1145","Native 7","gp",5,"Ambiguous","!","{The_father}","0",3607,"Native","Sub"
"1149","Native 7","gp",19,"Ambiguous","!","{The_coach_calmed_himself_down}","1",3700,"Native","Main"
"1157","Native 7","gp",11,"Ambiguous","!","{The_lady_woke_herself_up}","1",2960,"Native","Main"
"1164","Native 7","gp",9,"Ambiguous","!","{The_pianist}","0",2553,"Native","Sub"
"1172","Native 7","gp",15,"Ambiguous","!","{The_aunt_dressed_the_boy}","0",2322,"Native","Main"
"1179","Native 7","gp",12,"Unambiguous","!","{The_nurse_washed_herself}","1",4266,"Native","Main"
"1186","Native 7","gp",23,"Ambiguous","!","{The_mother_washed_the_child}","0",2185,"Native","Main"
"1204","Native 7","gp",6,"Unambiguous","!","{The_neighbour}","1",2836,"Native","Sub"
"1207","Native 7","gp",10,"Unambiguous","!","{The_General}","1",2029,"Native","Sub"
"1214","Native 7","gp",16,"Unambiguous","!","{The_researcher_woke_himself_up}","1",1738,"Native","Main"
"1220","Native 7","gp",2,"Unambiguous","!","{The_baby}","1",2359,"Native","Sub"
"1224","Native 7","gp",8,"Unambiguous","!","{Mary_dressed_herself}","1",2836,"Native","Main"
"1231","Native 7","gp",21,"Ambiguous","!","{The_child}","1",5031,"Native","Sub"
"1238","Native 7","gp",14,"Unambiguous","!","{The_nurse}","1",2369,"Native","Sub"
"1245","Native 7","gp",24,"Unambiguous","!","{The_two_actresses_met_each_other}","1",5812,"Native","Main"
"1248","Native 7","gp",20,"Unambiguous","!","{The_two_friends_met_each_other}","1",2375,"Native","Main"
"1280","Native 8","gp",23,"Unambiguous","!","{The_mother_washed_herself}","1",3574,"Native","Main"
"1285","Native 8","gp",24,"Ambiguous","!","{The_actresses}","0",2478,"Native","Sub"
"1291","Native 8","gp",7,"Unambiguous","!","{The_man_woke_himself_up}","1",4532,"Native","Main"
"1294","Native 8","gp",4,"Ambiguous","!","{The_two_children}","0",1941,"Native","Sub"
"1301","Native 8","gp",5,"Unambiguous","!","{The_boy}","1",2185,"Native","Sub"
"1308","Native 8","gp",13,"Unambiguous","!","{The_boy}","1",1881,"Native","Sub"
"1315","Native 8","gp",2,"Ambiguous","!","{The_mother_dressed_the_baby}","0",2367,"Native","Main"
"1319","Native 8","gp",15,"Unambiguous","!","{The_aunt_dressed_the_boy}","0",1798,"Native","Main"
"1333","Native 8","gp",9,"Unambiguous","!","{The_singer}","1",1554,"Native","Sub"
"1343","Native 8","gp",11,"Unambiguous","!","{The_lady_woke_herself_up}","1",5442,"Native","Main"
"1350","Native 8","gp",19,"Unambiguous","!","{The_coach_calmed_the_basketball_player_down}","0",3762,"Native","Main"
"1354","Native 8","gp",12,"Ambiguous","!","{The_nurse}","0",4455,"Native","Sub"
"1357","Native 8","gp",3,"Unambiguous","!","{The_two_journalists_met_each_other}","1",9266,"Native","Main"
"1364","Native 8","gp",10,"Ambiguous","!","{The_two_soldiers_fought_the_General}","0",3592,"Native","Main"
"1370","Native 8","gp",17,"Unambiguous","!","{The_terrorist}","1",2585,"Native","Sub"
"1382","Native 8","gp",16,"Ambiguous","!","{The_assistant}","1",2231,"Native","Sub"
"1389","Native 8","gp",18,"Ambiguous","!","{The_father_washed_the_baby}","0",3121,"Native","Main"
"1392","Native 8","gp",8,"Ambiguous","!","{Mary}","0",3689,"Native","Sub"
"1402","Native 8","gp",22,"Ambiguous","!","{The_two_footballers_fought_the_coach}","0",2801,"Native","Main"
"1410","Native 8","gp",14,"Ambiguous","!","{The_doctor_woke_himself_up}","1",3341,"Native","Main"
"1413","Native 8","gp",21,"Unambiguous","!","{The_child}","1",2050,"Native","Sub"
"1424","Native 8","gp",1,"Unambiguous","!","{The_lawyer}","0",3695,"Native","Sub"
"1435","Native 8","gp",6,"Ambiguous","!","{The_two_kids_fought_each_other}","1",4823,"Native","Main"
"1438","Native 8","gp",20,"Ambiguous","!","{The_man}","1",1913,"Native","Sub"
"1456","Native 9","gp",6,"Unambiguous","!","{The_two_kids_fought_each_other}","1",2559,"Native","Main"
"1460","Native 9","gp",21,"Ambiguous","!","{Anna_dressed_herself}","1",1804,"Native","Main"
"1467","Native 9","gp",11,"Ambiguous","!","{The_friend}","1",1081,"Native","Sub"
"1470","Native 9","gp",9,"Ambiguous","!","{The_pianist_calmed_the_singer_down}","0",2545,"Native","Main"
"1476","Native 9","gp",15,"Ambiguous","!","{The_aunt}","0",1342,"Native","Sub"
"1482","Native 9","gp",24,"Unambiguous","!","{The_director}","1",1031,"Native","Sub"
"1490","Native 9","gp",19,"Ambiguous","!","{The_basketball_player}","1",1442,"Native","Sub"
"1499","Native 9","gp",16,"Unambiguous","!","{The_assistant}","1",1361,"Native","Sub"
"1510","Native 9","gp",12,"Unambiguous","!","{The_baby}","1",991,"Native","Sub"
"1516","Native 9","gp",17,"Ambiguous","!","{The_two_men_fought_the_terrorist}","0",2006,"Native","Main"
"1520","Native 9","gp",8,"Unambiguous","!","{The_boy}","1",1512,"Native","Sub"
"1529","Native 9","gp",23,"Ambiguous","!","{The_child}","1",1537,"Native","Sub"
"1532","Native 9","gp",10,"Unambiguous","!","{The_two_soldiers_fought_the_General}","0",2253,"Native","Main"
"1540","Native 9","gp",2,"Unambiguous","!","{The_mother_dressed_the_baby}","0",1618,"Native","Main"
"1551","Native 9","gp",14,"Unambiguous","!","{The_doctor_woke_himself_up}","1",2493,"Native","Main"
"1561","Native 9","gp",20,"Unambiguous","!","{The_man}","1",997,"Native","Sub"
"1569","Native 9","gp",3,"Ambiguous","!","{The_president}","1",1886,"Native","Sub"
"1572","Native 9","gp",22,"Unambiguous","!","{The_two_footballers_fought_each_other}","1",1771,"Native","Main"
"1590","Native 9","gp",4,"Unambiguous","!","{The_friend}","1",1115,"Native","Sub"
"1598","Native 9","gp",18,"Unambiguous","!","{The_father_washed_himself}","1",2599,"Native","Main"
"1604","Native 9","gp",1,"Ambiguous","!","{The_lawyer_calmed_himself_down}","1",2493,"Native","Main"
"1607","Native 9","gp",5,"Ambiguous","!","{The_father_washed_himself}","1",2032,"Native","Main"
"1611","Native 9","gp",7,"Ambiguous","!","{The_lady}","1",1527,"Native","Sub"
"1615","Native 9","gp",13,"Ambiguous","!","{The_girl_calmed_herself_down}","1",2094,"Native","Main"
"1635","Native 10","gp",23,"Unambiguous","!","{The_child}","1",1145,"Native","Sub"
"1638","Native 10","gp",19,"Unambiguous","!","{The_basketball_player}","1",1567,"Native","Sub"
"1645","Native 10","gp",1,"Unambiguous","!","{The_lawyer_calmed_the_man_down}","0",5345,"Native","Main"
"1648","Native 10","gp",13,"Unambiguous","!","{The_girl_calmed_herself_down}","1",2692,"Native","Main"
"1655","Native 10","gp",11,"Unambiguous","!","{The_friend}","1",1070,"Native","Sub"
"1663","Native 10","gp",3,"Unambiguous","!","{The_president}","1",1148,"Native","Sub"
"1670","Native 10","gp",20,"Ambiguous","!","{The_two_friends_met_each_other}","1",4235,"Native","Main"
"1683","Native 10","gp",7,"Unambiguous","!","{The_lady}","1",1975,"Native","Sub"
"1695","Native 10","gp",5,"Unambiguous","!","{The_father_washed_the_boy}","0",3080,"Native","Main"
"1698","Native 10","gp",18,"Ambiguous","!","{The_father}","0",3058,"Native","Sub"
"1705","Native 10","gp",10,"Ambiguous","!","{The_two_soldiers}","0",2028,"Native","Sub"
"1708","Native 10","gp",24,"Ambiguous","!","{The_two_actresses_met_the_director}","0",2750,"Native","Main"
"1712","Native 10","gp",9,"Unambiguous","!","{The_pianist_calmed_himself_down}","1",2257,"Native","Main"
"1718","Native 10","gp",2,"Ambiguous","!","{The_mother}","0",2365,"Native","Sub"
"1726","Native 10","gp",12,"Ambiguous","!","{The_nurse_washed_the_baby}","0",2029,"Native","Main"
"1730","Native 10","gp",17,"Unambiguous","!","{The_two_men_fought_the_terrorist}","0",2398,"Native","Main"
"1734","Native 10","gp",22,"Ambiguous","!","{The_two_footballers}","0",1531,"Native","Sub"
"1741","Native 10","gp",16,"Ambiguous","!","{The_researcher_woke_himself_up}","1",2310,"Native","Main"
"1748","Native 10","gp",4,"Ambiguous","!","{The_two_children_hugged_their_friend}","0",1955,"Native","Main"
"1763","Native 10","gp",8,"Ambiguous","!","{Mary_dressed_herself}","1",1226,"Native","Main"
"1771","Native 10","gp",15,"Unambiguous","!","{The_boy}","1",1730,"Native","Sub"
"1781","Native 10","gp",6,"Ambiguous","!","{The_two_kids}","0",2253,"Native","Sub"
"1795","Native 10","gp",21,"Unambiguous","!","{Anna_dressed_herself}","1",1352,"Native","Main"
"1798","Native 10","gp",14,"Ambiguous","!","{The_nurse}","1",2379,"Native","Sub"
"1816","Native 11","gp",19,"Ambiguous","!","{The_coach_calmed_the_basketball_player_down}","0",3984,"Native","Main"
"1822","Native 11","gp",11,"Ambiguous","!","{The_lady_woke_herself_up}","1",4866,"Native","Main"
"1828","Native 11","gp",7,"Ambiguous","!","{The_man_woke_the_lady_up}","0",2610,"Native","Main"
"1838","Native 11","gp",8,"Unambiguous","!","{Mary_dressed_herself}","1",2699,"Native","Main"
"1849","Native 11","gp",14,"Unambiguous","!","{The_nurse}","1",1387,"Native","Sub"
"1857","Native 11","gp",12,"Unambiguous","!","{The_nurse_washed_herself}","1",2977,"Native","Main"
"1860","Native 11","gp",15,"Ambiguous","!","{The_aunt_dressed_the_boy}","0",1478,"Native","Main"
"1868","Native 11","gp",24,"Unambiguous","!","{The_two_actresses_met_each_other}","1",2971,"Native","Main"
"1874","Native 11","gp",13,"Ambiguous","!","{The_boy}","1",2940,"Native","Sub"
"1877","Native 11","gp",23,"Ambiguous","!","{The_mother_washed_herself}","1",3488,"Native","Main"
"1881","Native 11","gp",16,"Unambiguous","!","{The_researcher_woke_himself_up}","1",4928,"Native","Main"
"1885","Native 11","gp",9,"Ambiguous","!","{The_singer}","1",1546,"Native","Sub"
"1892","Native 11","gp",17,"Ambiguous","!","{The_terrorist}","1",1470,"Native","Sub"
"1898","Native 11","gp",22,"Unambiguous","!","{The_coach}","1",1795,"Native","Sub"
"1901","Native 11","gp",5,"Ambiguous","!","{The_father}","0",2136,"Native","Sub"
"1905","Native 11","gp",21,"Ambiguous","!","{The_child}","1",1477,"Native","Sub"
"1915","Native 11","gp",18,"Unambiguous","!","{The_baby}","1",1461,"Native","Sub"
"1926","Native 11","gp",1,"Ambiguous","!","{The_man}","1",4194,"Native","Sub"
"1937","Native 11","gp",20,"Unambiguous","!","{The_two_friends_met_each_other}","1",2358,"Native","Main"
"1946","Native 11","gp",10,"Unambiguous","!","{The_General}","1",2523,"Native","Sub"
"1949","Native 11","gp",4,"Unambiguous","!","{The_two_children_hugged_each_other}","1",2177,"Native","Main"
"1957","Native 11","gp",2,"Unambiguous","!","{The_baby}","1",3624,"Native","Sub"
"1967","Native 11","gp",3,"Ambiguous","!","{The_two_journalists_met_the_president}","0",2202,"Native","Main"
"1978","Native 11","gp",6,"Unambiguous","!","{The_neighbour}","1",1573,"Native","Sub"
"1995","Native 12","gp",13,"Unambiguous","!","{The_boy}","1",3244,"Native","Sub"
"1998","Native 12","gp",5,"Unambiguous","!","{The_boy}","1",2107,"Native","Sub"
"2005","Native 12","gp",1,"Unambiguous","!","{The_man}","1",1893,"Native","Sub"
"2011","Native 12","gp",3,"Unambiguous","!","{The_two_journalists_met_the_president}","0",4333,"Native","Main"
"2018","Native 12","gp",10,"Ambiguous","!","{The_two_soldiers_fought_each_other}","1",3907,"Native","Main"
"2027","Native 12","gp",23,"Unambiguous","!","{The_mother_washed_the_child}","0",4047,"Native","Main"
"2034","Native 12","gp",19,"Unambiguous","!","{The_coach_calmed_himself_down}","1",4350,"Native","Main"
"2038","Native 12","gp",2,"Ambiguous","!","{The_mother_dressed_the_baby}","0",2880,"Native","Main"
"2061","Native 12","gp",22,"Ambiguous","!","{The_two_footballers_fought_each_other}","1",3825,"Native","Main"
"2069","Native 12","gp",20,"Ambiguous","!","{The_man}","1",1715,"Native","Sub"
"2073","Native 12","gp",11,"Unambiguous","!","{The_lady_woke_herself_up}","1",4033,"Native","Main"
"2080","Native 12","gp",24,"Ambiguous","!","{The_actresses}","0",2325,"Native","Sub"
"2087","Native 12","gp",18,"Ambiguous","!","{The_father_washed_the_baby}","0",2325,"Native","Main"
"2094","Native 12","gp",4,"Ambiguous","!","{The_two_children}","0",2993,"Native","Sub"
"2111","Native 12","gp",7,"Unambiguous","!","{The_man_woke_himself_up}","1",2895,"Native","Main"
"2114","Native 12","gp",8,"Ambiguous","!","{Mary}","0",3289,"Native","Sub"
"2118","Native 12","gp",16,"Ambiguous","!","{The_assistant}","1",3541,"Native","Sub"
"2121","Native 12","gp",14,"Ambiguous","!","{The_doctor_woke_the_nurse_up}","0",2143,"Native","Main"
"2131","Native 12","gp",21,"Unambiguous","!","{The_child}","1",2202,"Native","Sub"
"2135","Native 12","gp",17,"Unambiguous","!","{The_terrorist}","1",1418,"Native","Sub"
"2138","Native 12","gp",12,"Ambiguous","!","{The_baby}","1",1664,"Native","Sub"
"2146","Native 12","gp",6,"Ambiguous","!","{The_two_kids_fought_each_other}","1",2696,"Native","Main"
"2153","Native 12","gp",9,"Unambiguous","!","{The_singer}","1",1565,"Native","Sub"
